m/d/y,h/m/s
2/27/2017,9:00:02
2/27/2017,13:00:01
2/27/2017,17:00:02
2/27/2017,21:00:02
2/28/2017,9:00:03
2/28/2017,13:00:02
2/28/2017,17:00:02
2/28/2017,21:00:02
3/1/2017,9:00:02
3/1/2017,13:00:02
3/1/2017,17:00:02
3/1/2017,21:00:02
3/2/2017,9:00:02
3/2/2017,13:00:03
3/2/2017,17:00:02
3/2/2017,21:00:02
3/3/2017,9:00:02
3/3/2017,13:00:02
3/3/2017,17:00:02
3/3/2017,21:00:02
3/4/2017,13:00:03
3/4/2017,17:00:03
3/4/2017,21:00:02
3/5/2017,9:00:02
3/5/2017,13:00:03
3/5/2017,17:00:02
3/5/2017,21:00:02
3/6/2017,9:00:03
3/6/2017,13:00:02
3/6/2017,13:53:21
3/6/2017,17:00:02
3/6/2017,21:00:02
3/7/2017,9:00:02
articleAbout,03/08/2017,09:44:23
articleAbout,03/10/2017,20:10:49
articleTags,03/11/2017,09:56:05
articleTags,03/11/2017,09:56:25
articleTags,03/11/2017,09:57:16
articleAbout,03/11/2017,18:48:09
articleAbout,03/11/2017,19:10:17
